Atomos,Moléculas,tempo
200,0,0
198,1,1
196,2,2
194,3,3
194,3,4
192,4,5
190,5,6
188,6,7
188,6,8
186,7,9
186,7,10
186,7,11
186,7,12
186,7,13
186,7,14
186,7,15
186,7,16
184,8,17
184,8,18
182,9,19
182,9,20
180,10,21
180,10,22
180,10,23
180,10,24
180,10,25
178,11,26
178,11,27
178,11,28
178,11,29
178,11,30
178,11,31
178,11,32
178,11,33
178,11,34
178,11,35
178,11,36
178,11,37
178,11,38
178,11,39
178,11,40
178,11,41
178,11,42
178,11,43
178,11,44
178,11,45
178,11,46
178,11,47
178,11,48
178,11,49
178,11,50
178,11,51
178,11,52
178,11,53
176,12,54
176,12,55
176,12,56
176,12,57
174,13,58
172,14,59
172,14,60
172,14,61
172,14,62
172,14,63
170,15,64
170,15,65
170,15,66
168,16,67
166,17,68
164,18,69
162,19,70
162,19,71
162,19,72
162,19,73
162,19,74
162,19,75
162,19,76
162,19,77
162,19,78
160,20,79
160,20,80
160,20,81
160,20,82
160,20,83
160,20,84
160,20,85
160,20,86
160,20,87
160,20,88
160,20,89
160,20,90
160,20,91
160,20,92
160,20,93
160,20,94
160,20,95
160,20,96
160,20,97
160,20,98
160,20,99
158,21,100
158,21,101
156,22,102
156,22,103
156,22,104
156,22,105
156,22,106
156,22,107
156,22,108
156,22,109
156,22,110
156,22,111
156,22,112
156,22,113
156,22,114
156,22,115
156,22,116
156,22,117
154,23,118
152,24,119
152,24,120
152,24,121
152,24,122
150,25,123
150,25,124
150,25,125
150,25,126
150,25,127
150,25,128
150,25,129
150,25,130
150,25,131
150,25,132
150,25,133
150,25,134
150,25,135
150,25,136
150,25,137
150,25,138
150,25,139
150,25,140
150,25,141
150,25,142
150,25,143
150,25,144
150,25,145
150,25,146
150,25,147
150,25,148
150,25,149
150,25,150
150,25,151
150,25,152
150,25,153
148,26,154
148,26,155
148,26,156
148,26,157
148,26,158
148,26,159
148,26,160
148,26,161
146,27,162
146,27,163
146,27,164
144,28,165
144,28,166
144,28,167
144,28,168
144,28,169
144,28,170
144,28,171
144,28,172
144,28,173
144,28,174
144,28,175
144,28,176
144,28,177
144,28,178
144,28,179
144,28,180
144,28,181
144,28,182
144,28,183
144,28,184
144,28,185
144,28,186
144,28,187
144,28,188
144,28,189
144,28,190
144,28,191
142,29,192
142,29,193
142,29,194
142,29,195
142,29,196
142,29,197
142,29,198
142,29,199
